CustomerID,CustomerName,Age,Gender,City,PurchaseDate,PurchaseTime,ProductCategory,ProductName,Quantity,UnitPrice(INR),TotalAmount(INR),PaymentMethod,Rating
CUST00013,Abhishek Pandey,33,Male,Ahmedabad,2024-03-11,21:34,Toys & Baby,Baby Wipes,1,2954.44,2954.44,Debit Card,3
CUST00014,Tarun Dutta,28,Female,Vadodara,2025-12-07,12:45,Toys & Baby,Board Game,2,3722.76,7445.52,UPI,5
CUST00015,Komal Rathore,51,Female,Hyderabad,2025-07-21,12:37,Groceries,Wheat Flour 10kg,3,61.57,184.71,Debit Card,1
CUST00016,Pooja Singh,32,Male,Delhi,2025-11-16,16:13,Toys & Baby,Baby Wipes,5,1028.22,5141.1,Net Banking,3
CUST00017,Tarun Desai,48,Female,Pune,2025-04-23,20:03,Groceries,Bread Loaf,3,282.97,848.91,Walmart Gift Card,2
CUST00018,Neha Das,64,Female,Hyderabad,2025-03-08,11:17,Groceries,Sugar 1kg,5,296.74,1483.7,Cash,4
CUST00019,Pooja Rathore,53,Male,Delhi,2024-08-30,11:26,Home & Kitchen,Table Lamp,1,7756.62,7756.62,Cash,5
CUST00020,Preeti Das,21,Male,Nagpur,2025-04-10,13:27,Groceries,Bread Loaf,3,559.58,1678.74,Walmart Gift Card,5
CUST00021,Shreya Kapoor,36,Male,Delhi,2024-02-28,09:37,Home & Kitchen,Table Lamp,1,6021.61,6021.61,Cash,3
CUST00022,Neha Nagar,23,Male,Bangalore,2025-08-06,12:37,Home & Kitchen,Curtains,4,1091.11,4364.44,Net Banking,1
CUST00023,Arjun Menon,60,Female,Jaipur,2024-05-14,19:41,Groceries,Milk 1L,2,196.09,392.18,UPI,5
CUST00024,Siddharth Kumar,18,Female,Nashik,2025-06-02,13:08,Sports & Fitness,Dumbbells Set,1,8156.99,8156.99,UPI,2
CUST00025,Kritika Chauhan,36,Male,Bhopal,2025-10-31,17:00,Toys & Baby,Feeding Bottle,5,3937.03,19685.15,Walmart Gift Card,4
CUST00026,Kavita Nair,34,Male,Hyderabad,2024-08-03,20:21,Personal Care,Face Wash,3,296.68,890.04,Debit Card,4
CUST00027,Rajendra Trivedi,34,Male,Bangalore,2024-05-13,19:16,Home & Kitchen,Dinner Set,1,177.83,177.83,Debit Card,5
CUST00028,Sandeep Dutta,18,Male,Bangalore,2025-01-13,18:35,Sports & Fitness,Cricket Bat,5,733.22,3666.1,Debit Card,5
CUST00029,Suresh Gupta,37,Female,Delhi,2024-04-15,14:49,Furniture,Sofa Set,6,7363.95,44183.7,Net Banking,5
CUST00030,Shreya Desai,28,Male,Indore,2024-09-11,13:10,Groceries,Milk 1L,4,491.23,1964.92,Walmart Gift Card,2
CUST00031,Rakesh Gupta,48,Male,Pune,2024-08-21,12:01,Toys & Baby,Soft Toy,3,1290.24,3870.72,Walmart Gift Card,4
CUST00032,Kiran Mishra,35,Male,Jaipur,2025-07-03,14:01,Electronics,Air Conditioner,4,30834.7,123338.8,Credit Card,4
CUST00033,Vivek Kaur,34,Male,Hyderabad,2025-03-22,18:32,Home & Kitchen,Water Bottle,6,6323.46,37940.76,Credit Card,5
CUST00034,Rajesh Bose,20,Female,Mumbai,2025-11-17,12:23,Clothing,School Uniform,6,2228.43,13370.58,Cash,2
CUST00035,Mohit Chandra,38,Male,Kochi,2024-11-30,15:44,Furniture,Shoe Rack,3,17171.98,51515.94,UPI,3
CUST00036,Rajesh Menon,60,Female,Coimbatore,2025-02-19,17:53,Personal Care,Face Wash,5,538.05,2690.25,Credit Card,4
CUST00037,Rajat Joshi,45,Female,Bhopal,2024-06-22,19:05,Clothing,Winter Jacket,5,1551.26,7756.3,UPI,5
CUST00038,Divya Desai,61,Female,Ahmedabad,2025-05-01,18:54,Toys & Baby,Toy Car,1,280.23,280.23,Credit Card,5
CUST00039,Neelam Ghosh,30,Female,Patna,2024-04-19,21:27,Electronics,Smartphone,6,31192.91,187157.46,Debit Card,3
CUST00040,Mahesh Kulkarni,21,Male,Hyderabad,2025-07-26,18:20,Clothing,Casual Sneakers,6,1710.61,10263.66,Cash,5
CUST00041,Madhuri Chopra,65,Female,Bhopal,2025-06-17,16:40,Electronics,Laptop,6,13057.16,78342.96,Debit Card,4
CUST00042,Pankaj Kumar,63,Female,Ahmedabad,2024-06-03,12:24,Electronics,Washing Machine,5,4361.53,21807.65,Walmart Gift Card,3
CUST00043,Preeti Kumar,44,Female,Surat,2025-03-06,15:57,Clothing,Sports Shoes,1,818.79,818.79,Net Banking,1
CUST00044,Rakesh Bansal,18,Female,Lucknow,2025-07-13,21:38,Personal Care,Sanitary Pads,5,687.91,3439.55,Debit Card,5
CUST00045,Gaurav Agarwal,45,Female,Mumbai,2025-04-23,11:39,Electronics,Refrigerator,6,8094.98,48569.88,Net Banking,1
CUST00046,Ravi Kaur,54,Male,Bangalore,2024-09-23,15:20,Home & Kitchen,Bed Sheet Set,4,1576.57,6306.28,Debit Card,5
CUST00047,Ishita Mishra,42,Female,Indore,2025-07-06,09:22,Electronics,Bluetooth Headphones,4,1656.74,6626.96,Debit Card,2
CUST00048,Anjali Verma,33,Male,Mumbai,2024-04-27,18:13,Home & Kitchen,Curtains,2,3867.45,7734.9,Cash,4
CUST00049,Komal Chopra,56,Male,Kolkata,2024-11-15,18:43,Sports & Fitness,Dumbbells Set,5,580.04,2900.2,Cash,5
CUST00050,Anita Kumar,55,Male,Hyderabad,2024-05-03,21:36,Personal Care,Hair Oil,6,564.35,3386.1,Credit Card,5
CUST00051,Sunil Pillai,60,Female,Bangalore,2025-05-16,10:27,Clothing,Cotton Saree,1,2586.33,2586.33,UPI,5
CUST00052,Shreya Pillai,29,Female,Nashik,2025-08-29,13:20,Toys & Baby,Baby Powder,4,1913.01,7652.04,Debit Card,2
CUST00053,Shalini Rathore,33,Female,Agra,2024-11-28,11:31,Home & Kitchen,Storage Containers,3,375.29,1125.87,Debit Card,5
CUST00054,Pallavi Mishra,35,Female,Ludhiana,2025-02-20,16:35,Groceries,Sugar 1kg,1,182.75,182.75,Debit Card,5
CUST00055,Ashish Rathore,19,Male,Lucknow,2025-01-12,16:35,Groceries,Sugar 1kg,3,415.18,1245.54,Net Banking,5
CUST00056,Sandeep Dutta,39,Female,Visakhapatnam,2024-07-16,14:07,Clothing,Formal Shirt,3,883.98,2651.94,Walmart Gift Card,3
CUST00057,Rajesh Joshi,65,Female,Jaipur,2024-04-12,12:18,Personal Care,Soap Bar Pack,5,297.72,1488.6,Debit Card,5
CUST00058,Vivek Pandey,18,Male,Jaipur,2024-05-09,19:55,Groceries,Basmati Rice 5kg,5,210.68,1053.4,Cash,2
CUST00059,Priya Ghosh,36,Female,Patna,2025-05-04,10:52,Clothing,Kids Jeans,1,944.32,944.32,Credit Card,5
CUST00060,Ashish Kumar,54,Male,Chennai,2024-09-11,10:35,Groceries,Coffee 200g,3,96.85,290.55,Cash,4
CUST00061,Mahesh Saxena,46,Female,Lucknow,2024-03-02,18:47,Toys & Baby,Board Game,3,2317.65,6952.95,Credit Card,4
CUST00062,Preeti Bose,60,Male,Kolkata,2025-02-22,16:44,Groceries,Tea Powder 500g,1,136.09,136.09,Net Banking,5
CUST00063,Aarti Gupta,32,Female,Visakhapatnam,2024-09-27,21:50,Electronics,Mixer Grinder,1,31182.41,31182.41,Walmart Gift Card,4
CUST00064,Sandeep Reddy,52,Male,Chandigarh,2024-06-18,21:19,Groceries,Toor Dal 1kg,2,89.28,178.56,Net Banking,4
CUST00065,Pankaj Reddy,47,Female,Visakhapatnam,2025-03-24,10:38,Clothing,Formal Shirt,5,1734.95,8674.75,Credit Card,5
CUST00066,Ishita Thakur,34,Male,Bangalore,2025-11-19,13:36,Groceries,Coffee 200g,5,572.93,2864.65,Credit Card,3
CUST00067,Tarun Sinha,59,Female,Jaipur,2025-05-18,10:30,Groceries,Coffee 200g,4,399.13,1596.52,UPI,5
CUST00068,Mohit Yadav,60,Male,Kolkata,2025-02-14,21:35,Electronics,Mixer Grinder,3,30086.19,90258.57,Credit Card,5
CUST00069,Divya Yadav,34,Female,Hyderabad,2024-01-02,19:55,Sports & Fitness,Skipping Rope,5,12408.92,62044.6,Net Banking,5
CUST00070,Ajay Singh,30,Female,Nashik,2025-07-16,11:59,Personal Care,Razor Pack,1,230.99,230.99,UPI,5
CUST00071,Ashish Reddy,19,Male,Visakhapatnam,2024-04-05,12:53,Groceries,Tea Powder 500g,1,353.74,353.74,Credit Card,5
CUST00072,Ritu Iyer,49,Female,Vadodara,2024-09-06,16:35,Personal Care,Sanitary Pads,4,883.41,3533.64,Debit Card,5
CUST00073,Rajesh Thakur,50,Male,Bangalore,2025-06-03,13:52,Electronics,Refrigerator,3,42093.78,126281.34,Credit Card,4
CUST00074,Naveen Kaur,55,Female,Chennai,2025-07-10,15:29,Clothing,Casual Sneakers,3,1164.21,3492.63,UPI,4
CUST00075,Aditya Ghosh,42,Male,Indore,2025-01-25,15:42,Groceries,Eggs (12 pack),6,552.39,3314.34,Walmart Gift Card,3
CUST00076,Jyoti Gupta,26,Female,Hyderabad,2025-04-12,09:46,Toys & Baby,Soft Toy,1,2151.21,2151.21,Debit Card,5
CUST00077,Shreya Kumar,48,Female,Surat,2024-12-02,19:54,Home & Kitchen,Storage Containers,6,780.48,4682.88,Net Banking,5
CUST00078,Siddharth Trivedi,52,Male,Nashik,2025-03-20,10:48,Groceries,Toor Dal 1kg,2,460.72,921.44,Walmart Gift Card,2
CUST00079,Pankaj Chopra,62,Female,Mumbai,2025-03-17,11:15,Groceries,Basmati Rice 5kg,3,247.15,741.45,Net Banking,5
CUST00080,Swati Chopra,29,Male,Nashik,2025-08-20,11:14,Toys & Baby,Kids Bicycle,6,1039.24,6235.44,Cash,4
CUST00081,Vishal Bose,60,Male,Bhopal,2024-12-19,18:19,Furniture,Shoe Rack,2,3235.75,6471.5,Walmart Gift Card,5
CUST00082,Harsh Kulkarni,37,Male,Nagpur,2025-01-02,18:18,Toys & Baby,Baby Wipes,2,1587.32,3174.64,Walmart Gift Card,4
CUST00083,Rahul Das,35,Male,Agra,2024-10-20,21:51,Toys & Baby,Baby Diapers Pack,5,3006.17,15030.85,Debit Card,5
CUST00084,Gaurav Kapoor,57,Female,Coimbatore,2025-10-04,19:02,Personal Care,Face Wash,6,141.62,849.72,UPI,5
CUST00085,Vikram Kaur,41,Male,Bangalore,2024-07-24,11:50,Furniture,Dining Table,6,11264.32,67585.92,Net Banking,5
CUST00086,Seema Nagar,35,Male,Jaipur,2024-12-12,21:07,Furniture,Wardrobe,3,19044.14,57132.42,Cash,2
CUST00087,Ankit Rao,61,Female,Ludhiana,2024-05-06,16:23,Electronics,Refrigerator,1,12489.07,12489.07,Walmart Gift Card,4
CUST00088,Rakesh Chauhan,24,Male,Patna,2024-08-14,19:04,Groceries,Tea Powder 500g,3,553.39,1660.17,Walmart Gift Card,5
CUST00089,Naveen Menon,25,Male,Delhi,2024-08-28,17:08,Sports & Fitness,Badminton Racket,4,1918.58,7674.32,Cash,5
CUST00090,Komal Shetty,44,Male,Indore,2024-10-13,09:44,Home & Kitchen,Vacuum Cleaner,5,3353.71,16768.55,UPI,4
CUST00091,Pankaj Rathore,33,Female,Hyderabad,2025-10-22,14:03,Sports & Fitness,Treadmill,5,13545.1,67725.5,Cash,4
CUST00092,Rajesh Reddy,47,Male,Coimbatore,2024-12-07,12:08,Groceries,Coffee 200g,1,77.82,77.82,Net Banking,4
CUST00093,Karan Dutta,31,Male,Ahmedabad,2024-05-28,11:34,Electronics,Smartphone,5,925.33,4626.65,UPI,3
CUST00094,Manish Verma,26,Male,Kanpur,2024-06-27,13:03,Personal Care,Body Lotion,5,331.97,1659.85,Debit Card,5
CUST00095,Seema Reddy,65,Male,Patna,2025-04-07,17:14,Clothing,Cotton Saree,5,1882.58,9412.9,Net Banking,1
CUST00096,Mahesh Pandey,47,Male,Delhi,2025-05-17,20:58,Sports & Fitness,Skipping Rope,4,10354.24,41416.96,Cash,2
CUST00097,Arjun Yadav,56,Male,Bangalore,2025-12-30,14:24,Groceries,Coffee 200g,6,371.95,2231.7,Net Banking,4
CUST00098,Vishal Nagar,56,Female,Hyderabad,2025-07-18,20:55,Personal Care,Toothpaste,6,606.77,3640.62,Debit Card,5
CUST00099,Madhuri Rao,44,Female,Bhopal,2025-11-12,13:23,Electronics,Bluetooth Headphones,3,19662.97,58988.91,Debit Card,5
CUST00100,Karan Patel,23,Male,Indore,2025-08-23,17:35,Groceries,Milk 1L,2,356.0,712.0,UPI,2
CUST00101,Ajay Tiwari,60,Female,Kochi,2024-04-16,18:32,Groceries,Toor Dal 1kg,5,221.85,1109.25,Debit Card,3
CUST00102,Payal Rao,24,Female,Ludhiana,2025-03-15,17:49,Electronics,Microwave Oven,5,10796.23,53981.15,Net Banking,1
CUST00103,Varun Verma,29,Female,Visakhapatnam,2024-05-26,18:42,Personal Care,Deodorant,3,65.13,195.39,Cash,2
CUST00104,Ankit Verma,23,Male,Nagpur,2024-11-28,21:36,Clothing,Cotton Saree,2,1267.65,2535.3,Net Banking,2
CUST00105,Rohan Iyer,28,Male,Coimbatore,2025-09-13,16:26,Groceries,Eggs (12 pack),6,283.21,1699.26,UPI,4
CUST00106,Usha Reddy,40,Female,Hyderabad,2024-11-11,09:14,Electronics,Smartwatch,4,24090.49,96361.96,Cash,1
CUST00107,Amit Joshi,37,Male,Chennai,2025-05-24,20:27,Personal Care,Hair Oil,3,160.79,482.37,Debit Card,3
CUST00108,Rakesh Shetty,63,Male,Vadodara,2024-02-13,15:01,Home & Kitchen,Water Bottle,1,3267.01,3267.01,Cash,2
CUST00109,Siddharth Ghosh,45,Female,Visakhapatnam,2024-11-28,11:51,Home & Kitchen,Dinner Set,1,3329.5,3329.5,Net Banking,5
CUST00110,Abhishek Patel,45,Male,Ahmedabad,2024-11-13,20:21,Clothing,Sports Shoes,5,466.28,2331.4,Debit Card,5
CUST00111,Nisha Kumar,50,Male,Vadodara,2025-10-22,11:15,Clothing,Cotton Saree,3,2250.29,6750.87,Credit Card,3
CUST00112,Harsh Kapoor,29,Male,Chandigarh,2025-08-16,16:43,Groceries,Eggs (12 pack),4,464.95,1859.8,Net Banking,5
CUST00113,Siddharth Iyer,46,Male,Patna,2024-12-26,17:04,Clothing,Formal Shirt,3,1876.4,5629.2,UPI,5
CUST00114,Madhuri Gupta,21,Female,Lucknow,2025-01-28,16:37,Groceries,Wheat Flour 10kg,5,376.74,1883.7,Net Banking,1
CUST00115,Madhuri Ghosh,59,Male,Surat,2025-04-06,10:51,Home & Kitchen,Table Lamp,2,7668.12,15336.24,UPI,2
CUST00116,Rajendra Malhotra,20,Male,Visakhapatnam,2024-06-11,14:23,Clothing,Casual Sneakers,5,1687.56,8437.8,UPI,5
CUST00117,Ajay Mishra,61,Male,Chandigarh,2025-11-25,15:18,Home & Kitchen,Pressure Cooker,3,891.87,2675.61,UPI,3
CUST00118,Mohit Patel,55,Male,Kanpur,2024-03-27,13:35,Electronics,Refrigerator,2,27100.82,54201.64,Cash,5
CUST00119,Suresh Sinha,23,Female,Vadodara,2024-08-07,14:49,Electronics,Washing Machine,3,8767.62,26302.86,Cash,4
CUST00120,Gaurav Nair,27,Male,Lucknow,2025-06-23,09:42,Toys & Baby,Baby Wipes,5,3106.41,15532.05,UPI,3
CUST00121,Rakesh Iyer,28,Male,Visakhapatnam,2025-02-24,14:43,Personal Care,Face Wash,6,427.65,2565.9,Walmart Gift Card,4
CUST00122,Pankaj Chandra,36,Female,Ahmedabad,2024-07-17,14:43,Clothing,Formal Shirt,4,2735.93,10943.72,Net Banking,5
CUST00123,Alka Bhatt,42,Female,Kolkata,2024-02-23,19:30,Toys & Baby,Kids Bicycle,2,3504.71,7009.42,UPI,2
CUST00124,Mahesh Reddy,36,Male,Kolkata,2024-04-03,12:52,Electronics,Air Conditioner,2,37532.26,75064.52,Cash,5
CUST00125,Sneha Menon,21,Female,Vadodara,2024-01-29,14:59,Electronics,Refrigerator,1,17371.14,17371.14,Credit Card,5
CUST00126,Ankit Nair,20,Female,Patna,2025-09-22,09:57,Personal Care,Face Wash,6,454.05,2724.3,Credit Card,1
CUST00127,Harsh Joshi,27,Female,Hyderabad,2024-09-01,15:40,Personal Care,Body Lotion,3,162.35,487.05,Net Banking,5
CUST00128,Karan Reddy,49,Male,Chandigarh,2025-03-15,09:39,Clothing,Winter Jacket,6,644.84,3869.04,UPI,4
CUST00129,Neelam Malhotra,60,Male,Vadodara,2025-06-03,17:01,Sports & Fitness,Dumbbells Set,5,8252.41,41262.05,Cash,5
CUST00130,Anjali Saxena,41,Female,Kochi,2025-11-03,19:06,Groceries,Wheat Flour 10kg,3,182.62,547.86,Net Banking,5
CUST00131,Meera Gupta,40,Female,Chandigarh,2024-07-05,21:08,Groceries,Eggs (12 pack),6,313.19,1879.14,Credit Card,5
CUST00132,Vikram Bhatt,30,Male,Pune,2025-07-10,16:16,Furniture,Dining Table,3,13611.51,40834.53,Credit Card,4
CUST00133,Rajat Tiwari,21,Female,Jaipur,2025-03-26,15:21,Groceries,Milk 1L,4,539.22,2156.88,Debit Card,5
CUST00134,Jyoti Chauhan,51,Female,Bangalore,2024-07-03,17:18,Personal Care,Toothpaste,4,566.06,2264.24,UPI,2
CUST00135,Arjun Yadav,60,Female,Lucknow,2024-12-25,16:02,Clothing,Sports Shoes,2,2146.85,4293.7,Walmart Gift Card,5
CUST00136,Rekha Agarwal,58,Male,Bangalore,2025-11-26,11:01,Personal Care,Sanitary Pads,3,490.99,1472.97,Debit Card,5
CUST00137,Vikram Nair,22,Male,Chandigarh,2024-06-06,19:28,Electronics,Refrigerator,5,2231.43,11157.15,UPI,5
CUST00138,Pankaj Kumar,54,Male,Vadodara,2024-04-26,09:47,Electronics,Washing Machine,6,13118.09,78708.54,Debit Card,5
CUST00139,Mahesh Saxena,53,Male,Jaipur,2024-10-19,20:58,Personal Care,Razor Pack,2,896.95,1793.9,Cash,4
CUST00140,Ritu Nair,22,Female,Kolkata,2024-11-23,19:22,Furniture,Wardrobe,1,20547.06,20547.06,Walmart Gift Card,2
CUST00141,Vandana Bhatt,37,Male,Visakhapatnam,2024-05-04,12:50,Personal Care,Face Wash,3,487.35,1462.05,Debit Card,4
CUST00142,Jyoti Verma,41,Female,Bhopal,2024-03-29,10:19,Toys & Baby,Baby Powder,2,2486.6,4973.2,Cash,5
CUST00143,Seema Menon,44,Male,Chennai,2025-06-13,14:08,Sports & Fitness,Dumbbells Set,4,7094.33,28377.32,Net Banking,3
CUST00144,Suresh Pillai,50,Male,Hyderabad,2025-12-27,12:22,Clothing,Formal Shirt,2,695.41,1390.82,Net Banking,4
CUST00145,Arjun Bose,30,Female,Chennai,2025-10-18,11:37,Home & Kitchen,Wall Clock,5,883.41,4417.05,Net Banking,3
CUST00146,Nisha Chandra,64,Female,Agra,2025-10-18,21:36,Groceries,Basmati Rice 5kg,1,75.0,75.0,UPI,4
CUST00147,Neelam Chandra,58,Male,Patna,2024-11-05,16:15,Furniture,Shoe Rack,3,16584.82,49754.46,Walmart Gift Card,5
CUST00148,Naveen Kulkarni,22,Male,Kolkata,2025-09-13,11:20,Clothing,Casual Sneakers,4,811.06,3244.24,Walmart Gift Card,5
CUST00149,Yash Das,26,Female,Vadodara,2024-09-30,16:15,Home & Kitchen,Water Bottle,2,3811.81,7623.62,Debit Card,2
CUST00150,Rohan Bhatt,42,Female,Ahmedabad,2024-11-16,12:48,Sports & Fitness,Cricket Bat,3,14019.52,42058.56,Debit Card,5
CUST00151,Usha Kulkarni,49,Female,Patna,2024-09-03,12:37,Groceries,Bread Loaf,5,301.48,1507.4,UPI,1
CUST00152,Rohan Bhatt,49,Female,Lucknow,2024-09-27,20:23,Clothing,Women's Kurti,4,618.32,2473.28,Cash,5
CUST00153,Anjali Das,21,Male,Kanpur,2025-07-17,13:52,Home & Kitchen,Pressure Cooker,4,4108.41,16433.64,Net Banking,2
CUST00154,Suresh Mehta,43,Female,Surat,2025-06-05,15:32,Home & Kitchen,Water Bottle,2,1712.6,3425.2,Credit Card,1
CUST00155,Vikram Nair,63,Female,Patna,2024-05-23,14:59,Clothing,Kids Jeans,5,2706.11,13530.55,Net Banking,5
CUST00156,Deepak Das,57,Female,Agra,2025-07-30,13:30,Electronics,Air Conditioner,5,22451.22,112256.1,Credit Card,5
CUST00157,Mohit Reddy,44,Female,Kochi,2025-11-02,21:49,Toys & Baby,Baby Diapers Pack,5,1950.9,9754.5,Net Banking,4
CUST00158,Rohan Kaur,48,Male,Vadodara,2025-11-28,12:02,Home & Kitchen,Wall Clock,4,1310.04,5240.16,Net Banking,2
CUST00159,Rajesh Verma,46,Female,Indore,2025-09-18,16:55,Groceries,Sugar 1kg,4,326.0,1304.0,Walmart Gift Card,1
CUST00160,Meera Sinha,31,Female,Coimbatore,2025-04-15,17:21,Clothing,Sports Shoes,3,2880.89,8642.67,Net Banking,5
CUST00161,Pallavi Chandra,48,Male,Ahmedabad,2024-10-31,21:18,Electronics,Microwave Oven,2,42413.66,84827.32,Walmart Gift Card,4
CUST00162,Ashish Yadav,48,Female,Ludhiana,2025-11-23,17:24,Furniture,Bed Frame,3,4364.04,13092.12,Cash,5
CUST00163,Ankit Bhatt,20,Female,Visakhapatnam,2025-05-05,12:12,Groceries,Eggs (12 pack),6,191.04,1146.24,Net Banking,4
CUST00164,Varun Nair,24,Male,Ahmedabad,2024-02-23,10:26,Groceries,Tea Powder 500g,2,400.87,801.74,UPI,5
CUST00165,Sanjay Nair,18,Male,Indore,2024-10-21,14:18,Home & Kitchen,Vacuum Cleaner,4,5256.73,21026.92,Walmart Gift Card,1
CUST00166,Divya Ghosh,32,Male,Kolkata,2025-02-10,21:31,Clothing,Kids Jeans,1,2992.22,2992.22,Debit Card,4
CUST00167,Vikram Sharma,37,Male,Surat,2024-05-17,17:29,Electronics,Air Conditioner,5,22630.93,113154.65,UPI,4
CUST00168,Manish Mishra,28,Female,Chandigarh,2024-10-29,18:43,Electronics,Smartphone,1,33358.51,33358.51,Debit Card,3
CUST00169,Kiran Pillai,50,Female,Bangalore,2025-05-03,14:59,Clothing,Women's Kurti,2,2949.63,5899.26,Debit Card,1
CUST00170,Pallavi Saxena,33,Female,Jaipur,2024-01-12,13:41,Sports & Fitness,Badminton Racket,5,10898.66,54493.3,UPI,4
CUST00171,Neha Reddy,47,Female,Kolkata,2025-12-07,10:40,Clothing,School Uniform,6,2367.06,14202.36,UPI,5
CUST00172,Gaurav Rao,26,Female,Chennai,2025-07-16,16:48,Clothing,Innerwear Pack,3,1393.58,4180.74,Net Banking,4
CUST00173,Kritika Thakur,23,Female,Vadodara,2025-07-14,17:12,Personal Care,Toothpaste,5,154.26,771.3,Net Banking,3
CUST00174,Nisha Yadav,51,Female,Hyderabad,2025-06-06,16:51,Personal Care,Sunscreen,4,136.39,545.56,Credit Card,5
CUST00175,Suresh Nagar,44,Female,Agra,2024-01-23,15:16,Groceries,Eggs (12 pack),6,493.8,2962.8,Credit Card,4
CUST00176,Pooja Gupta,45,Female,Visakhapatnam,2025-04-28,09:18,Groceries,Basmati Rice 5kg,1,592.38,592.38,Cash,3
CUST00177,Meera Menon,41,Female,Bhopal,2025-11-08,17:08,Toys & Baby,Board Game,4,412.97,1651.88,Walmart Gift Card,5
CUST00178,Ritu Malhotra,52,Female,Vadodara,2024-11-01,16:43,Groceries,Sugar 1kg,1,465.9,465.9,Walmart Gift Card,5
CUST00179,Sunil Saxena,32,Male,Bhopal,2024-04-25,09:51,Electronics,Microwave Oven,2,42233.54,84467.08,Walmart Gift Card,5
CUST00180,Rahul Desai,31,Male,Hyderabad,2024-02-19,12:47,Home & Kitchen,Vacuum Cleaner,5,5425.39,27126.95,Credit Card,5
CUST00181,Pankaj Rao,52,Male,Delhi,2025-08-12,14:36,Groceries,Toor Dal 1kg,2,498.68,997.36,Net Banking,5
CUST00182,Aditya Pandey,27,Male,Indore,2024-06-28,19:43,Electronics,LED TV 43-inch,5,42724.6,213623.0,Cash,5
CUST00183,Rohan Tiwari,59,Female,Vadodara,2025-01-20,11:48,Electronics,Refrigerator,4,7395.42,29581.68,Net Banking,5
CUST00184,Aditya Rao,37,Male,Bhopal,2025-07-24,17:08,Furniture,Shoe Rack,4,24242.98,96971.92,Cash,4
CUST00185,Harsh Joshi,39,Male,Bhopal,2024-07-14,09:17,Toys & Baby,Baby Wipes,5,2925.88,14629.4,Cash,1
CUST00186,Pooja Kapoor,55,Male,Patna,2024-01-16,12:59,Groceries,Milk 1L,3,576.36,1729.08,Debit Card,2
CUST00187,Payal Desai,62,Male,Nagpur,2025-01-24,16:34,Furniture,Shoe Rack,3,19724.58,59173.74,Walmart Gift Card,5
CUST00188,Bhavna Bose,41,Female,Bhopal,2025-01-14,14:26,Groceries,Eggs (12 pack),3,552.88,1658.64,Credit Card,4
CUST00189,Ankit Verma,34,Female,Lucknow,2024-09-08,16:35,Groceries,Milk 1L,2,258.91,517.82,Walmart Gift Card,5
CUST00190,Harsh Trivedi,64,Female,Bhopal,2025-07-13,16:11,Groceries,Milk 1L,2,126.98,253.96,Net Banking,1
CUST00191,Seema Gupta,22,Male,Mumbai,2024-01-10,12:32,Clothing,Winter Jacket,1,2194.72,2194.72,Cash,5
CUST00192,Neha Chandra,58,Female,Coimbatore,2024-01-13,09:33,Clothing,Men's T-Shirt,5,1767.02,8835.1,Walmart Gift Card,4
CUST00193,Sunil Bhatt,19,Female,Kolkata,2024-07-15,18:33,Groceries,Wheat Flour 10kg,5,131.89,659.45,UPI,5
CUST00194,Varun Das,23,Female,Nagpur,2025-12-01,10:41,Clothing,Winter Jacket,6,871.11,5226.66,Walmart Gift Card,1
CUST00195,Divya Das,42,Female,Ludhiana,2025-05-26,15:41,Clothing,Men's T-Shirt,6,721.3,4327.8,UPI,2
CUST00196,Seema Gupta,32,Male,Visakhapatnam,2024-03-17,19:59,Furniture,Wardrobe,3,2594.21,7782.63,UPI,1
